enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
21791,city_36,0.893,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,180,0.0
7182,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,11,,,2,81,1.0
2980,city_103,0.92,Male,Has relevent experience,no_enrollment,Phd,STEM,12,100-500,Pvt Ltd,2,256,0.0
5736,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,18,10000+,Pvt Ltd,1,42,0.0
28635,city_11,0.55,Male,Has relevent experience,Full time course,Masters,STEM,9,500-999,Pvt Ltd,1,51,0.0
11020,city_67,0.855,,Has relevent experience,Full time course,,,4,<10,Early Stage Startup,1,54,1.0
17859,city_114,0.926,,Has relevent experience,no_enrollment,High School,,4,50-99,Pvt Ltd,2,6,0.0
22602,city_90,0.698,,No relevent experience,Full time course,High School,,3,,,never,234,1.0
32174,city_104,0.924,Male,Has relevent experience,Part time course,Graduate,STEM,6,,,1,155,1.0
23748,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,6,,,never,100,1.0
23703,city_76,0.698,Male,No relevent experience,Full time course,Graduate,STEM,4,,,1,44,1.0
20508,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,8,,,never,40,1.0
20183,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,8,,,never,44,1.0
20144,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,17,10000+,Pvt Ltd,2,17,0.0
7735,city_149,0.6890000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,5000-9999,,1,90,0.0
10342,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,12,10000+,Pvt Ltd,2,220,0.0
14387,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,53,1.0
16062,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,3,,Pvt Ltd,1,87,0.0
21914,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,NGO,>4,34,0.0
12882,city_45,0.89,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,1,23,0.0
8184,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,12,100-500,Pvt Ltd,1,30,0.0
32253,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,19,100-500,Pvt Ltd,2,55,0.0
7583,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,3,,Pvt Ltd,1,19,0.0
19534,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10/49,Pvt Ltd,>4,31,0.0
84,city_75,0.939,,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,>4,23,0.0
4174,city_71,0.884,,Has relevent experience,no_enrollment,Masters,STEM,11,5000-9999,Pvt Ltd,>4,99,1.0
17539,city_104,0.924,,Has relevent experience,no_enrollment,Masters,STEM,16,100-500,Pvt Ltd,3,43,0.0
8302,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,11,10000+,Pvt Ltd,4,330,0.0
29755,city_100,0.887,Female,Has relevent experience,no_enrollment,Graduate,Other,>20,,,>4,34,1.0
25950,city_103,0.92,Male,Has relevent experience,no_enrollment,High School,,14,10000+,Pvt Ltd,>4,322,0.0
15175,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,NGO,>4,48,0.0
21269,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,30,0.0
17682,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,92,0.0
21204,city_131,0.68,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,2,34,0.0
7309,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,28,0.0
24730,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,7,100-500,Pvt Ltd,never,48,0.0
4612,city_73,0.754,,Has relevent experience,no_enrollment,Masters,STEM,12,100-500,Pvt Ltd,1,150,0.0
7338,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,17,100-500,NGO,>4,74,0.0
13653,city_16,0.91,,Has relevent experience,no_enrollment,Graduate,STEM,15,5000-9999,Pvt Ltd,2,74,0.0
18129,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,12,1000-4999,Pvt Ltd,3,76,0.0
29782,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,5000-9999,Pvt Ltd,1,24,0.0
3345,city_150,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1,50,0.0
1578,city_117,0.698,Female,Has relevent experience,no_enrollment,Masters,STEM,,10000+,Pvt Ltd,>4,9,0.0
31294,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Pvt Ltd,1,157,0.0
8535,city_104,0.924,,Has relevent experience,no_enrollment,Graduate,STEM,8,10000+,Pvt Ltd,1,89,0.0
12501,city_165,0.903,,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,>4,43,0.0
6308,city_116,0.743,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,1,13,0.0
9757,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,4,108,0.0
33049,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,Other,12,10000+,Pvt Ltd,4,28,0.0
11130,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,2,109,0.0
2949,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,4,46,0.0
24728,city_97,0.925,Male,Has relevent experience,no_enrollment,Masters,STEM,16,5000-9999,Pvt Ltd,3,102,0.0
29130,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,1,28,0.0
1322,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1,248,0.0
28660,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10000+,Pvt Ltd,1,11,0.0
8743,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,18,10000+,Pvt Ltd,4,46,0.0
9453,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Funded Startup,1,124,0.0
24909,city_21,0.624,Female,No relevent experience,no_enrollment,Masters,STEM,3,50-99,Pvt Ltd,1,56,1.0
1221,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,314,0.0
24135,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Funded Startup,1,32,0.0
29114,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,5000-9999,Pvt Ltd,1,78,1.0
31502,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,Pvt Ltd,>4,82,0.0
2291,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,10,50-99,Pvt Ltd,3,90,1.0
24496,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,3,114,0.0
3549,city_150,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,19,0.0
30339,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,5000-9999,Pvt Ltd,2,44,0.0
20866,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,1,10/49,Pvt Ltd,1,46,0.0
24920,city_16,0.91,,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,11,1.0
14055,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,3,117,0.0
11048,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,2,16,0.0
2543,city_16,0.91,Male,Has relevent experience,Part time course,Graduate,STEM,7,100-500,Pvt Ltd,4,4,0.0
27067,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,1,82,0.0
12119,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Pvt Ltd,3,10,1.0
17529,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,4,30,0.0
19304,city_150,0.698,,Has relevent experience,Part time course,High School,,6,<10,Pvt Ltd,1,64,1.0
6324,city_24,0.698,Male,Has relevent experience,Full time course,Graduate,STEM,8,500-999,Pvt Ltd,1,188,0.0
15295,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,91,0.0
15105,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Funded Startup,1,144,0.0
31465,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,<10,Pvt Ltd,never,22,0.0
9885,city_73,0.754,Female,Has relevent experience,no_enrollment,Masters,STEM,16,100-500,Pvt Ltd,>4,51,0.0
31531,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,10000+,Pvt Ltd,4,48,1.0
29467,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Funded Startup,1,20,0.0
14951,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,10000+,Pvt Ltd,1,11,0.0
12681,city_73,0.754,Male,Has relevent experience,Full time course,High School,,2,10/49,Pvt Ltd,1,90,0.0
21539,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,3,16,0.0
20952,city_138,0.836,,Has relevent experience,Part time course,Graduate,STEM,8,1000-4999,Pvt Ltd,4,14,0.0
26477,city_114,0.926,Male,Has relevent experience,Full time course,Graduate,STEM,9,10/49,Pvt Ltd,1,56,0.0
3025,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,>4,26,0.0
5247,city_114,0.926,Male,No relevent experience,no_enrollment,Phd,STEM,14,500-999,Public Sector,>4,73,1.0
14268,city_37,0.794,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Funded Startup,1,102,0.0
10372,city_57,0.866,Male,Has relevent experience,no_enrollment,Graduate,Arts,16,50-99,Funded Startup,1,54,0.0
8507,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,2,10000+,Pvt Ltd,never,42,0.0
13486,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Pvt Ltd,>4,44,0.0
14050,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,2,12,0.0
2758,city_101,0.5579999999999999,Male,Has relevent experience,Full time course,Masters,STEM,1,<10,Pvt Ltd,never,3,1.0
10334,city_23,0.899,Male,Has relevent experience,Part time course,High School,,14,10000+,Pvt Ltd,1,66,0.0
1023,city_103,0.92,Male,No relevent experience,Full time course,High School,,15,10000+,Pvt Ltd,never,51,0.0
26297,city_138,0.836,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,50,0.0
3729,city_114,0.926,Male,Has relevent experience,Full time course,High School,,4,1000-4999,Pvt Ltd,1,128,0.0
8186,city_158,0.7659999999999999,Male,Has relevent experience,Full time course,Graduate,STEM,5,100-500,Other,2,45,0.0
29990,city_103,0.92,,No relevent experience,no_enrollment,Graduate,STEM,7,10/49,Funded Startup,2,122,0.0
27126,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,2,50,1.0
18487,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,5,0.0
14160,city_165,0.903,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,2,34,0.0
5682,city_50,0.8959999999999999,,Has relevent experience,no_enrollment,Masters,STEM,5,<10,Early Stage Startup,1,30,0.0
14705,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,7,10/49,Pvt Ltd,1,46,1.0
25260,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Public Sector,4,22,0.0
20609,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Humanities,12,10/49,Pvt Ltd,2,45,1.0
3821,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Arts,>20,10/49,Pvt Ltd,>4,107,0.0
27284,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Funded Startup,>4,224,0.0
7191,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Humanities,6,<10,NGO,1,72,0.0
20134,city_136,0.897,Female,Has relevent experience,no_enrollment,Graduate,STEM,12,,Pvt Ltd,never,19,0.0
16754,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,14,100-500,Pvt Ltd,>4,144,0.0
1046,city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,102,0.0
13476,city_100,0.887,Male,Has relevent experience,Full time course,Graduate,STEM,4,10/49,Pvt Ltd,2,79,0.0
22729,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,1,23,0.0
14349,city_26,0.698,Male,No relevent experience,no_enrollment,Masters,Business Degree,>20,,,never,40,0.0
16738,city_75,0.939,Female,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,3,170,0.0
3262,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Public Sector,1,90,0.0
5791,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,6,<10,Funded Startup,1,39,1.0
31542,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,Other,8,100-500,Public Sector,1,160,0.0
23152,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,1,4,1.0
30328,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,8,10/49,Pvt Ltd,1,25,0.0
9909,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,<1,1000-4999,Pvt Ltd,2,216,1.0
11483,city_16,0.91,,Has relevent experience,Part time course,Graduate,STEM,10,10/49,Early Stage Startup,1,102,0.0
16756,city_160,0.92,,No relevent experience,no_enrollment,Graduate,STEM,5,<10,Early Stage Startup,2,4,1.0
9247,city_41,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,500-999,Pvt Ltd,2,10,1.0
12215,city_114,0.926,Male,No relevent experience,Part time course,Masters,STEM,5,500-999,Public Sector,1,46,1.0
5107,city_71,0.884,Female,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Funded Startup,1,74,0.0
10168,city_27,0.848,,Has relevent experience,Full time course,High School,,4,100-500,Public Sector,1,47,0.0
2079,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Early Stage Startup,2,42,0.0
7392,city_64,0.6659999999999999,Male,Has relevent experience,Full time course,Graduate,STEM,4,1000-4999,Pvt Ltd,1,63,0.0
4757,city_114,0.926,Male,No relevent experience,Full time course,Phd,STEM,3,1000-4999,Public Sector,1,36,1.0
30496,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,28,0.0
18131,city_65,0.802,,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Public Sector,1,64,1.0
27040,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Early Stage Startup,>4,54,0.0
10545,city_100,0.887,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,>4,111,0.0
8984,city_23,0.899,Female,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Funded Startup,2,330,0.0
8688,city_65,0.802,Female,Has relevent experience,Full time course,Graduate,STEM,10,100-500,Pvt Ltd,1,326,0.0
22636,city_114,0.926,,No relevent experience,,High School,,2,,,,23,0.0
26148,city_115,0.789,,No relevent experience,,Graduate,STEM,3,,,never,42,1.0
870,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,11,,,>4,15,0.0
1854,city_61,0.913,Male,No relevent experience,no_enrollment,Graduate,Other,1,,,1,34,0.0
25883,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,,,1,28,0.0
11014,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,1,,,never,57,0.0
27911,city_7,0.647,,Has relevent experience,Full time course,Graduate,STEM,1,,,2,51,0.0
28726,city_99,0.915,Male,No relevent experience,no_enrollment,Primary School,,2,,,never,26,0.0
2479,city_73,0.754,,Has relevent experience,Part time course,Graduate,STEM,3,,,1,21,1.0
12485,city_115,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,41,0.0
2213,city_114,0.926,Male,Has relevent experience,Full time course,High School,,5,10/49,,2,48,0.0
10479,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,4,10/49,,2,103,1.0
3013,city_160,0.92,Male,No relevent experience,Full time course,Graduate,STEM,4,,,never,56,1.0
1273,city_149,0.6890000000000001,Male,No relevent experience,no_enrollment,Graduate,Other,4,,,1,90,1.0
20218,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,11,<10,NGO,never,50,0.0
17306,city_114,0.926,Male,Has relevent experience,Part time course,Graduate,STEM,11,<10,,2,29,0.0
11896,city_21,0.624,Female,No relevent experience,Full time course,High School,,3,,,never,48,1.0
19490,city_23,0.899,Male,Has relevent experience,,Graduate,STEM,8,<10,Early Stage Startup,>4,11,0.0
19572,city_105,0.794,Male,Has relevent experience,no_enrollment,Masters,STEM,12,50-99,Pvt Ltd,1,56,0.0
23010,city_114,0.926,Male,No relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,1,114,0.0
698,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,10/49,Pvt Ltd,4,8,0.0
25256,city_61,0.913,Male,No relevent experience,Full time course,Graduate,STEM,7,10/49,NGO,1,65,0.0
30164,city_57,0.866,Male,Has relevent experience,Part time course,Masters,STEM,5,50-99,Pvt Ltd,2,14,0.0
27904,city_103,0.92,,No relevent experience,Full time course,High School,,2,5000-9999,Pvt Ltd,1,64,0.0
10203,city_159,0.843,Female,No relevent experience,Full time course,Graduate,STEM,7,,,never,64,1.0
18662,city_28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,2,36,0.0
2356,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,1000-4999,Pvt Ltd,1,117,0.0
4855,city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,8,1000-4999,Pvt Ltd,>4,44,0.0
5032,city_100,0.887,,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,never,34,0.0
5077,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,4,11,0.0
4187,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,5,5000-9999,Pvt Ltd,1,140,0.0
4521,city_99,0.915,,No relevent experience,Full time course,Graduate,STEM,1,,Pvt Ltd,never,69,0.0
28127,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10000+,Pvt Ltd,1,121,0.0
1160,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10000+,Pvt Ltd,4,3,1.0
11964,city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Funded Startup,3,32,0.0
10840,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,4,22,0.0
2305,city_104,0.924,Male,Has relevent experience,Part time course,Graduate,STEM,4,50-99,Pvt Ltd,1,19,0.0
17000,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,18,50-99,Pvt Ltd,>4,11,0.0
26308,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,2,46,0.0
16455,city_104,0.924,Male,Has relevent experience,no_enrollment,Masters,STEM,19,50-99,Early Stage Startup,1,92,0.0
14254,city_21,0.624,,Has relevent experience,Part time course,Graduate,STEM,5,10/49,Pvt Ltd,1,94,0.0
27116,city_9,0.743,Male,Has relevent experience,Full time course,Graduate,Other,5,10/49,Pvt Ltd,1,11,0.0
219,city_118,0.722,Male,Has relevent experience,no_enrollment,Graduate,Humanities,6,50-99,Pvt Ltd,1,86,0.0
23955,city_100,0.887,Male,Has relevent experience,Full time course,Graduate,STEM,<1,100-500,Pvt Ltd,2,29,0.0
20155,city_23,0.899,Male,Has relevent experience,Part time course,Graduate,STEM,5,<10,Pvt Ltd,2,5,1.0
21165,city_114,0.926,Male,Has relevent experience,Part time course,Graduate,STEM,15,500-999,Pvt Ltd,>4,47,0.0
26773,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,<10,Early Stage Startup,1,67,1.0
8671,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Public Sector,4,160,0.0
7405,city_116,0.743,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,6,0.0
12559,city_67,0.855,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,53,1.0
9476,city_23,0.899,Male,Has relevent experience,Full time course,Masters,STEM,10,100-500,Public Sector,4,96,0.0
28702,city_21,0.624,Male,Has relevent experience,Part time course,Graduate,STEM,9,1000-4999,Pvt Ltd,4,61,1.0
13886,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Early Stage Startup,1,118,1.0
19401,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,Humanities,3,10000+,Pvt Ltd,never,20,0.0
9887,city_91,0.691,Female,Has relevent experience,Part time course,Graduate,STEM,11,10/49,Pvt Ltd,3,110,0.0
11472,city_160,0.92,,Has relevent experience,Full time course,Graduate,STEM,<1,<10,Early Stage Startup,never,86,1.0
19102,city_93,0.865,Male,Has relevent experience,Full time course,Graduate,STEM,11,100-500,Early Stage Startup,2,23,0.0
12093,city_176,0.764,Female,Has relevent experience,Full time course,Graduate,STEM,3,1000-4999,Pvt Ltd,never,52,0.0
32533,city_114,0.926,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,1000-4999,Pvt Ltd,2,70,1.0
13510,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,Business Degree,10,10/49,Pvt Ltd,4,93,0.0
5310,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,Business Degree,3,1000-4999,Pvt Ltd,1,10,0.0
14929,city_116,0.743,Female,Has relevent experience,no_enrollment,Graduate,Humanities,>20,10/49,Funded Startup,1,302,0.0
6155,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,13,100-500,Pvt Ltd,>4,87,0.0
31748,city_67,0.855,Male,Has relevent experience,Full time course,Masters,Humanities,9,10000+,Public Sector,1,332,0.0
4686,city_71,0.884,Female,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,2,23,0.0
4023,city_100,0.887,Other,Has relevent experience,Full time course,Graduate,STEM,15,500-999,Public Sector,4,288,1.0
28346,city_162,0.767,Male,No relevent experience,,High School,,2,,,never,73,0.0
24898,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Public Sector,3,17,1.0
1286,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Funded Startup,1,28,1.0
135,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,1,<10,Early Stage Startup,never,43,1.0
12593,city_36,0.893,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,17,100-500,Pvt Ltd,4,28,0.0
