customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
6614-MUSUD,Female,0,Yes,Yes,51,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,69.5,7334.05,0
2977-MYAPH,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.65,3164.3,0
6441-TWCDX,Male,0,Yes,Yes,6,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,45.5,944.15,0
0127-KEXPO,Male,0,Yes,Yes,32,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,No,Mailed check,59.25,1634.8,0
0447-ETERC,Female,0,No,No,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,29.45,567.45,1
3280-IHMAS,Male,0,Yes,Yes,20,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,55.0,2656.2,1
3162-IJEEA,Female,0,No,No,27,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,74.65,905.55,0
6402-STERQ,Male,1,No,No,11,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,85.3,62.8,0
9972-XUAIR,Female,0,No,No,54,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.45,5774.5,0
6047-IXMBR,Male,0,Yes,Yes,29,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,68.65,60.6,0
4795-ZESRV,Female,0,No,No,1,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,46.0,70.1,1
8207-HCWMW,Female,0,No,No,9,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),49.7,8025.65,1
1210-KXAZX,Female,1,No,No,2,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.0,70.15,1
6265-IQIWL,Male,0,Yes,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.05,19.5,0
7801-MQUSF,Female,0,No,No,19,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,41.9,5424.7,0
9705-VGSYS,Male,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,4515.1,1
9494-ZCLUX,Male,0,No,No,14,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.0,1242.25,1
9142-ALEJG,Female,0,No,No,4,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,75.9,123.75,0
4558-UDICT,Male,0,Yes,No,59,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),59.55,20.25,0
8901-GVIQC,Male,1,Yes,No,41,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.5,168.25,1
8590-SRUXY,Female,0,No,No,39,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),56.15,1776.0,0
2178-KYQNC,Male,0,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,83.3,272.2,1
7321-UHBPG,Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,5459.7,1
6496-BKRKD,Male,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,80.7,263.15,0
2889-HFAIB,Male,1,No,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,95.1,3021.25,1
8182-WARNJ,Female,0,Yes,Yes,15,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.5,1312.55,0
3022-TIGES,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),25.3,5891.05,0
5915-BMMJS,Female,1,No,No,12,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.2,1348.1,0
7817-IEKTK,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.75,1303.05,0
7711-QLHRQ,Male,0,No,No,16,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),39.6,1532.7,0
2444-MVTBE,Male,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,106.7,262.05,0
5334-BJOMB,Male,0,No,No,2,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,102.5,3084.85,1
3735-XSZQV,Male,0,Yes,No,17,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.2,6130.3,0
3352-ZAVPU,Male,0,Yes,Yes,16,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),69.3,5064.3,1
3810-BZWXJ,Female,0,No,No,23,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),48.9,606.2,1
3677-FRRHR,Male,0,Yes,Yes,56,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,79.5,432.45,0
6663-BORCL,Female,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.55,433.75,1
7875-AMNQY,Female,0,Yes,No,31,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),48.85,3568.45,0
7268-HVLHK,Female,0,No,No,1,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),53.45,426.1,0
2181-OQAIG,Male,0,No,No,52,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.0,1776.0,0
1442-FZVJN,Male,1,No,No,34,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.0,4028.9,1
7632-IUNGF,Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,78.8,1233.7,0
1763-LRDOH,Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,80.45,370.6,1
0730-JVWLA,Female,0,No,No,12,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),59.0,5148.6,1
3398-RYWGF,Female,0,No,No,40,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),108.65,1315.0,0
2960-MSDWS,Male,1,No,No,19,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.55,53.1,1
3909-ILGDP,Male,0,Yes,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.85,45.1,0
7168-XJGBU,Male,0,Yes,No,44,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.65,85.0,0
1088-JCHRX,Female,0,No,No,19,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,66.9,3396.1,0
6900-EZATY,Male,0,Yes,Yes,25,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,97.95,1945.7,0
3721-ACDJQ,Female,0,No,No,37,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.9,6332.4,0
9931-NBUCA,Female,1,Yes,No,35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.05,179.25,0
7721-QPBOU,Male,0,Yes,Yes,40,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),79.4,123.45,0
3003-XHSMJ,Female,0,Yes,No,65,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),79.65,7031.8,0
3370-NIKQN,Male,0,Yes,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.2,4168.4,1
5136-YNCMI,Male,0,No,No,71,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),74.4,22.0,0
2851-IHEJM,Male,0,No,Yes,35,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),84.9,864.75,0
4716-TSGOM,Female,0,Yes,Yes,16,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.8,8058.05,0
4142-LUGDP,Male,0,No,No,52,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,102.65,2395.6,0
6402-TTZBF,Male,0,Yes,Yes,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.8,254.95,0
0474-BPHDW,Female,0,No,No,12,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,101.45,1175.4,1
4716-RFHPA,Female,0,Yes,No,60,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),90.6,71.65,0
9608-HFASM,Female,0,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),84.9,1652.75,0
6127-UJMON,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),95.2,49.95,0
7721-LDEJG,Male,0,Yes,Yes,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),105.4,228.6,0
3173-KEXNV,Male,1,Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.75,3804.4,1
9663-ZCCJH,Female,0,No,No,8,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),75.2,857.2,0
9840-RNETY,Female,0,No,No,15,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,65.6,377.7,0
3082-DTNPG,Female,0,Yes,No,26,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.6,4309.2,0
3374-GLVFB,Male,0,Yes,No,10,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),79.15,348.65,1
7925-EPVDB,Male,1,Yes,No,18,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.85,6223.8,1
5453-GAKTI,Female,0,No,No,43,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),72.35,8190.05,0
6314-HBKFY,Female,0,Yes,Yes,63,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),86.9,232.55,0
3474-SLKLI,Female,1,Yes,No,51,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.5,836.35,0
5312-AIYGI,Female,0,Yes,No,59,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),66.1,595.05,0
4009-JTXPT,Female,0,No,No,38,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),78.95,184.65,0
6136-DIRAZ,Female,0,Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,96.5,7386.8,0
9725-BGNQT,Male,0,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),85.65,6368.0,0
1561-YXDBJ,Male,0,Yes,No,18,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,85.95,412.6,0
9763-DGSBG,Male,0,Yes,Yes,11,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,107.5,454.15,1
3876-PZGTX,Female,1,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.05,4179.35,0
9481-SFMPH,Male,1,No,No,34,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.45,5069.4,1
5521-UUHVT,Male,0,Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.5,1008.75,1
3757-WJUMW,Female,0,No,No,72,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),100.8,67.55,0
8029-FFZBU,Male,1,Yes,No,26,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.45,274.95,0
3755-TSPQT,Male,0,No,No,55,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.8,4548.65,1
8880-AISOG,Male,0,Yes,Yes,9,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.95,6459.05,1
6622-EKILN,Female,0,Yes,Yes,37,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),70.95,424.55,0
1185-DKZZW,Female,0,Yes,No,62,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,109.1,1542.05,0
3581-KSRZX,Female,0,Yes,Yes,33,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),74.8,74.95,0
2589-KIWMM,Male,0,No,No,44,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),97.65,78.25,0
5787-JHQSP,Female,0,Yes,Yes,63,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),79.9,7949.15,0
1375-KYBIZ,Female,0,No,No,3,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.45,1219.6,0
3756-USDMG,Female,0,Yes,No,62,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.9,74.95,0
6377-WXHRQ,Male,0,Yes,Yes,24,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.8,6367.35,0
9821-ZRUWT,Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),92.45,19.95,0
1980-POCXO,Female,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.6,180.2,1
2882-HFPNR,Female,0,Yes,No,36,No,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),61.25,1271.25,0
6347-CACBJ,Female,0,No,No,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),103.3,822.95,0
1946-QUYTT,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),57.5,74.65,0
1496-LHGHE,Female,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),99.6,2810.65,1
2369-SGPWL,Male,0,Yes,Yes,71,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),110.05,2744.95,0
2604-LLONK,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.05,52.15,0
5220-ZMOOR,Male,0,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.4,7750.15,1
0739-NUHPO,Male,0,No,No,3,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,58.2,2524.45,1
3764-CETBU,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.9,4441.2,0
1385-ADBRC,Female,0,No,No,5,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.8,451.35,1
7525-AWMOI,Male,0,No,No,14,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.3,688.75,1
5153-ZTDGH,Female,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.75,55.25,1
8891-QXNCV,Male,0,Yes,Yes,13,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,90.7,573.15,1
3785-TMASU,Female,0,Yes,Yes,14,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,80.65,1831.45,0
8276-JEJNH,Male,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),111.6,50.7,0
9197-OZGKB,Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,415.9,0
6620-YFFKL,Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.15,729.75,0
9361-OXEVH,Female,0,No,No,69,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),48.8,789.1,0
2060-CYBGS,Female,1,No,No,20,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.05,4018.05,1
9640-WIOMI,Male,0,No,No,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,95.05,1029.4,1
9544-LBNOZ,Male,0,No,No,34,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),61.65,74.9,0
7129-MNQSV,Female,0,No,No,10,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.4,1184.25,0
8702-WUTHB,Male,0,Yes,No,46,No,No phone service,DSL,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,30.4,1360.7,0
6102-ADDUU,Male,0,No,No,21,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),73.9,3810.5,0
9785-OARCV,Male,0,No,No,43,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.35,5763.15,1
9696-ITVNK,Male,0,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.7,439.35,0
9885-ZYLBN,Male,0,Yes,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.35,139.6,0
8718-BOQCB,Female,0,No,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.0,430.85,0
1985-LZQXK,Male,0,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.35,415.35,0
1990-RBBQL,Male,0,Yes,Yes,42,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,89.7,511.2,0
3716-GPHDX,Female,0,No,No,9,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),60.15,7742.2,0
3726-BOESF,Male,1,Yes,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.6,730.2,1
3578-YJTEL,Female,0,Yes,Yes,48,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),60.2,2208.85,0
8856-RWGMP,Female,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.65,3615.3,0
3504-RWXEM,Male,0,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.9,5791.1,0
4301-EXSDU,Female,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,50.65,0
3006-TIJBI,Male,0,Yes,Yes,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,19.5,5432.2,0
5186-SRFWB,Male,1,No,No,7,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,90.3,667.95,0
5701-TIOHS,Male,1,No,No,32,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),84.9,5868.45,0
2446-VZHHG,Male,0,Yes,Yes,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,95.15,605.25,1
7376-JRWLE,Female,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,95.75,1527.5,0
9710-NNRWK,Female,0,No,No,18,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.45,241.25,0
2257-DOGBJ,Male,0,Yes,Yes,53,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),65.25,4594.65,0
2162-WTBXH,Female,0,No,No,26,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),84.15,842.35,0
7671-TKWLE,Male,0,No,No,23,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),94.8,5008.75,0
0719-QSLKH,Male,0,Yes,No,63,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,115.55,2619.7,0
0076-FPDJP,Female,0,No,No,42,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),92.9,6666.3,0
7508-OUPZW,Female,0,Yes,Yes,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,112.25,8665.05,1
7593-AUVKX,Male,1,No,No,52,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),99.2,2254.25,0
3796-DVBNC,Male,1,No,No,67,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),103.85,212.75,0
9563-CXCVR,Female,0,Yes,Yes,53,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,58.75,495.15,0
6728-YLPJC,Male,0,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.1,990.15,0
7801-BXVJC,Female,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.75,4859.85,0
7159-CEDLX,Female,0,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.8,106.8,0
6520-DFXEM,Female,0,Yes,Yes,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.8,5746.75,0
0463-AOEZM,Female,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.45,35.1,0
8148-HDYYZ,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),115.1,447.75,0
9704-PBQJT,Female,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,24.65,24.7,0
3443-NXBHQ,Male,0,No,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.7,3568.85,0
8903-ICXET,Male,0,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.75,3694.7,0
6480-MBRON,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.55,1813.5,1
6143-CASGR,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.8,343.45,0
3047-RVWLW,Female,0,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.9,1579.5,0
