age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
21,?,122109.0,HS-grad,9,Never-married,?,Not-in-family,White,Male,8003,0,40,United-States,0
58,Private,112847.0,9th,3,Separated,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,0
56,Private,77982.0,7th-8th,4,Divorced,Sales,Not-in-family,Black,Female,0,0,25,United-States,0
31,Private,193736.0,11th,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,47,United-States,0
50,Private,122076.0,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,1
28,Private,214069.0,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,0
37,Private,132879.0,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,60,United-States,0
43,Private,123011.0,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
29,Private,110331.0,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
41,Private,201164.0,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,1
25,Private,35411.0,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,35,United-States,0
30,Private,126569.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,1651,0,40,United-States,0
37,Private,108293.0,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,37,United-States,0
46,Private,238876.0,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,United-States,1
31,Private,125461.0,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,1
22,Private,252752.0,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,0
53,Private,116680.0,HS-grad,9,Divorced,Craft-repair,Other-relative,White,Male,0,0,40,United-States,0
21,Private,119411.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Male,0,0,20,Poland,0
76,Private,190563.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,25,United-States,0
21,Private,202872.0,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
48,Private,89076.0,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1
43,Private,190555.0,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,0
43,Private,70097.0,12th,8,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,0
34,Private,163215.0,Assoc-voc,11,Separated,Craft-repair,Unmarried,Black,Female,0,0,40,United-States,0
65,?,138941.0,5th-6th,3,Married-civ-spouse,?,Husband,Amer-Indian-Eskimo,Male,0,0,30,United-States,0
19,Private,103445.0,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,70,United-States,0
22,Private,32292.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,44,United-States,0
19,Private,35056.0,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,24,United-States,0
38,Private,243184.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,0
36,Private,178353.0,Assoc-voc,11,Divorced,Other-service,Not-in-family,White,Female,0,0,30,United-States,0
38,Private,189898.0,Assoc-acdm,12,Divorced,Craft-repair,Own-child,White,Male,0,0,35,United-States,0
35,Local-gov,95433.0,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,0
40,Self-emp-inc,169605.0,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1
43,Federal-gov,100321.0,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,1741,41,United-States,0
35,Private,237865.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,42,United-States,0
26,Private,166961.0,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,36,United-States,0
41,Private,97859.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,5013,0,45,United-States,0
75,Private,188576.0,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,20,United-States,0
35,Private,111483.0,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,27828,0,40,United-States,1
27,Private,216811.0,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,55,United-States,0
30,Private,86551.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386,0,60,United-States,1
57,Private,172716.0,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,45,United-States,1
52,Federal-gov,172105.0,10th,6,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,0
22,Private,143754.0,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
49,State-gov,184378.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,1
29,Private,66092.0,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
40,Local-gov,198744.0,Some-college,10,Separated,Tech-support,Unmarried,White,Female,0,0,40,United-States,0
59,Private,176063.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1902,70,United-States,1
50,Private,208613.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,1
36,Private,48123.0,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,4386,0,40,United-States,1
39,Private,193815.0,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,35,United-States,1
51,Private,111483.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
34,Private,30526.0,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,7688,0,40,United-States,1
48,Private,189762.0,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Male,0,0,60,United-States,0
43,Private,202276.0,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,0
36,Private,199021.0,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,50,United-States,0
58,Private,358671.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1902,40,United-States,1
35,Federal-gov,196957.0,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,47,United-States,0
36,Private,35917.0,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,4787,0,40,United-States,1
35,Private,151089.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,1
35,Federal-gov,151740.0,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,1
30,Private,33129.0,Some-college,10,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,55,United-States,0
45,Private,181769.0,Some-college,10,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,35,United-States,0
20,Private,420121.0,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,0
26,Private,277332.0,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,0
34,State-gov,147753.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,0
42,Private,144949.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
31,Private,98086.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,1
37,Private,137628.0,12th,8,Divorced,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,0
20,Local-gov,189749.0,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,12,United-States,0
51,Private,205826.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1887,48,United-States,1
23,Private,316159.0,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,0
45,Private,447793.0,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,El-Salvador,0
37,Self-emp-inc,156748.0,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,2174,0,60,United-States,0
25,Private,57233.0,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0
53,Local-gov,206600.0,Masters,14,Widowed,Prof-specialty,Not-in-family,White,Male,0,0,40,Germany,1
28,Private,191814.0,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,1741,80,United-States,0
20,Private,206972.0,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,1055,0,35,United-States,0
21,Private,220587.0,Some-college,10,Never-married,Priv-house-serv,Not-in-family,White,Female,2176,0,8,United-States,0
51,Private,89508.0,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,1
59,Federal-gov,200475.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1
34,Private,98776.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
39,Private,163110.0,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,1408,21,United-States,0
31,Private,213002.0,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,0
44,Private,200925.0,5th-6th,3,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,0
26,Private,383313.0,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,4101,0,25,United-States,0
52,Local-gov,337050.0,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,0
40,Self-emp-inc,231181.0,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0
18,Private,317315.0,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,0
22,Private,170437.0,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,16,United-States,0
49,Self-emp-inc,177189.0,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,45,United-States,1
40,Private,267948.0,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,1
40,Private,33822.0,Assoc-acdm,12,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,60,United-States,0
19,Private,29389.0,1st-4th,2,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,El-Salvador,0
42,Local-gov,39026.0,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,1
22,Private,169104.0,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Male,0,0,40,United-States,0
53,State-gov,170541.0,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
47,Self-emp-not-inc,112607.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,1902,60,United-States,1
41,State-gov,177233.0,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,0
25,Federal-gov,148709.0,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,1,United-States,0
42,Private,194638.0,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,20,United-States,0
57,Private,111292.0,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,0
60,Self-emp-not-inc,160192.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,99999,0,35,United-States,1
44,Private,195124.0,Some-college,10,Separated,Adm-clerical,Not-in-family,Black,Female,0,0,20,Dominican-Republic,0
36,Self-emp-not-inc,189811.0,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,3411,0,72,United-States,0
26,Self-emp-not-inc,169699.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
44,Self-emp-not-inc,99153.0,9th,5,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,1
26,Private,135832.0,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,0
39,Self-emp-inc,129473.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,48,United-States,1
46,Private,115769.0,Assoc-voc,11,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,0
54,Private,145737.0,HS-grad,9,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,0
41,Self-emp-not-inc,225165.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,1
39,Self-emp-inc,262021.0,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,99999,0,32,United-States,1
43,Self-emp-not-inc,120131.0,HS-grad,9,Divorced,Farming-fishing,Unmarried,White,Male,0,0,45,United-States,0
56,Private,200408.0,Bachelors,13,Married-spouse-absent,Transport-moving,Not-in-family,White,Male,0,0,60,United-States,0
50,State-gov,287306.0,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,25,United-States,1
37,Private,163003.0,Assoc-acdm,12,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,0,0,60,United-States,1
66,Federal-gov,181357.0,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,0
60,Self-emp-not-inc,280305.0,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,0
41,Local-gov,195000.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,7688,0,49,United-States,1
42,Private,193069.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,1848,40,Taiwan,1
35,Self-emp-not-inc,111567.0,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
38,?,236756.0,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,50,Canada,0
42,Private,109015.0,Bachelors,13,Divorced,Sales,Unmarried,White,Female,0,0,35,United-States,0
17,Private,163231.0,12th,8,Never-married,Other-service,Other-relative,White,Female,0,0,25,United-States,0
49,Self-emp-not-inc,183173.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
50,Self-emp-not-inc,201680.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,1
38,Self-emp-not-inc,181252.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
26,Self-emp-not-inc,460436.0,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,24,United-States,0
40,Private,115932.0,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,0,0,24,United-States,0
41,Private,160833.0,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,32,United-States,0
31,Private,188972.0,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Germany,0
45,Private,114477.0,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,32,United-States,0
52,?,123011.0,HS-grad,9,Never-married,?,Not-in-family,White,Male,0,0,40,United-States,0
34,Private,230959.0,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0,0,18,United-States,0
26,Private,195835.0,HS-grad,9,Married-civ-spouse,Other-service,Other-relative,White,Male,0,0,23,United-States,0
37,Private,224531.0,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,60,United-States,0
51,Private,122392.0,HS-grad,9,Separated,Exec-managerial,Unmarried,White,Female,0,0,44,United-States,0
45,Private,132917.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0
40,?,238355.0,Some-college,10,Never-married,?,Not-in-family,Black,Male,0,0,40,United-States,0
62,Private,201699.0,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
41,Private,50442.0,HS-grad,9,Separated,Other-service,Not-in-family,Black,Male,0,0,40,United-States,0
25,State-gov,197015.0,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,0
52,Private,321408.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,40,United-States,1
29,Private,160300.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
69,Private,198673.0,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,15,United-States,0
30,Private,288154.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,1
78,Private,200826.0,Masters,14,Widowed,Prof-specialty,Not-in-family,White,Male,0,0,17,United-States,0
37,Private,102579.0,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
34,Private,208326.0,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
47,Federal-gov,322674.0,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,1
59,State-gov,163352.0,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
44,State-gov,246891.0,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,1
17,State-gov,190228.0,10th,6,Never-married,Farming-fishing,Own-child,White,Male,0,0,4,United-States,0
21,Private,89763.0,HS-grad,9,Never-married,Tech-support,Own-child,White,Male,0,0,30,United-States,0
40,Private,191837.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,1
26,Private,201122.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,0
35,Private,171876.0,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
30,Private,96483.0,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
40,Private,183892.0,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0
22,Private,35305.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
22,State-gov,80680.0,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Female,0,0,25,United-States,0
27,Private,29632.0,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,45,United-States,0
39,Private,309513.0,HS-grad,9,Separated,Farming-fishing,Not-in-family,White,Male,0,0,50,United-States,0
51,Private,287397.0,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,7743,0,45,United-States,0
58,Federal-gov,175951.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,0
38,Local-gov,257250.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
48,Self-emp-inc,323651.0,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,United-States,0
46,Private,210781.0,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,36,United-States,0
32,Private,185616.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,1
52,Private,122072.0,Assoc-acdm,12,Widowed,Exec-managerial,Not-in-family,White,Male,27828,0,60,United-States,1
45,Private,175914.0,Assoc-acdm,12,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
42,Private,194901.0,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,0
49,Self-emp-not-inc,48343.0,Assoc-voc,11,Widowed,Other-service,Unmarried,White,Female,0,0,32,United-States,0
22,Private,155233.0,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
33,Local-gov,22966.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,40,Puerto-Rico,0
39,Federal-gov,109015.0,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
35,Private,122277.0,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Male,2407,0,56,United-States,0
47,Self-emp-not-inc,114691.0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,0
18,Private,250263.0,10th,6,Never-married,Other-service,Other-relative,Other,Female,0,0,20,United-States,0
20,Private,209651.0,7th-8th,4,Never-married,Sales,Other-relative,White,Male,0,0,40,United-States,0
52,Self-emp-not-inc,383377.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,70,United-States,1
31,Self-emp-not-inc,276087.0,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
41,Self-emp-not-inc,206051.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,1
60,Private,237075.0,7th-8th,4,Married-civ-spouse,Other-service,Husband,White,Male,0,0,35,Mexico,0
23,Private,177555.0,10th,6,Married-civ-spouse,Other-service,Other-relative,White,Male,0,0,30,Puerto-Rico,0
52,Private,123785.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,15024,0,45,United-States,1
23,?,39615.0,Some-college,10,Never-married,?,Own-child,White,Female,0,0,25,United-States,0
50,Private,133152.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
48,Private,276093.0,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,0
45,Private,159931.0,Assoc-acdm,12,Divorced,Tech-support,Unmarried,White,Female,0,0,35,United-States,0
23,Private,259652.0,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,Black,Male,0,0,40,Jamaica,0
54,Private,129039.0,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,0
26,Private,272338.0,12th,8,Never-married,Other-service,Not-in-family,White,Female,0,0,18,United-States,0
48,Private,24744.0,1st-4th,2,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico,0
26,Federal-gov,31514.0,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Male,0,0,20,United-States,0
45,Private,298216.0,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,0
54,Local-gov,141445.0,HS-grad,9,Divorced,Protective-serv,Unmarried,Black,Female,0,0,40,United-States,0
39,Private,38795.0,HS-grad,9,Divorced,Machine-op-inspct,Other-relative,White,Male,0,0,40,United-States,0
42,Private,75173.0,9th,5,Never-married,Craft-repair,Own-child,Black,Male,0,0,20,United-States,0
21,Private,140592.0,Some-college,10,Never-married,Sales,Own-child,Black,Female,1055,0,15,United-States,0
36,Private,216256.0,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
45,Local-gov,178506.0,HS-grad,9,Never-married,Protective-serv,Unmarried,Black,Male,0,0,40,United-States,0
45,Private,192017.0,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,43,United-States,1
34,Local-gov,69132.0,Some-college,10,Divorced,Transport-moving,Unmarried,White,Male,0,0,30,United-States,0
40,Local-gov,342642.0,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,1
29,Private,86336.0,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,0
40,State-gov,198320.0,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
44,Private,111278.0,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,40,United-States,0
28,Private,224381.0,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
50,State-gov,118322.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
47,Private,158647.0,Bachelors,13,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,50,United-States,1
52,Private,27624.0,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,0
28,?,272182.0,Some-college,10,Separated,?,Unmarried,White,Female,0,0,40,United-States,0
66,?,29145.0,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,30,United-States,0
66,?,233624.0,Assoc-voc,11,Divorced,?,Not-in-family,White,Female,175,0,40,Germany,0
25,Private,231895.0,9th,5,Never-married,Transport-moving,Other-relative,White,Male,0,0,40,Mexico,0
18,Private,205740.0,10th,6,Never-married,Sales,Own-child,White,Female,0,0,12,United-States,0
28,Private,161472.0,Preschool,1,Never-married,Other-service,Unmarried,White,Male,0,0,40,Mexico,0
