Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
23,0,Non-Travel,1090.0,Sales,2,3,Marketing,1,1021,4,Female,38,2,1,Sales Representative,1,Married,1790,25846,1,Y,No,11,3,1,80,1,1,2,3,1,0,1,0
36,0,Travel_Rarely,991.0,Sales,26,3,Medical,1,1833,1,Female,86,2,3,Sales Executive,1,Married,10325,22807,1,Y,Yes,20,4,4,80,0,16,3,2,16,7,3,7
47,0,Travel_Rarely,1361.0,Sales,16,3,Life Sciences,1,1680,3,Female,86,2,2,Sales Executive,1,Married,6397,25388,3,Y,Yes,17,3,1,80,1,8,2,3,5,0,1,4
38,0,Travel_Rarely,1329.0,Sales,2,4,Life Sciences,1,1446,4,Male,78,3,2,Sales Executive,1,Married,6861,14222,8,Y,No,12,3,3,80,1,19,0,4,1,0,0,0
35,0,Travel_Rarely,1018.0,Sales,12,3,Marketing,1,1411,3,Male,69,3,2,Sales Executive,3,Married,4717,6984,5,Y,No,19,3,1,80,1,15,2,3,11,9,6,9
39,0,Travel_Rarely,971.0,Research & Development,21,2,Medical,1,1469,4,Male,62,3,2,Manufacturing Director,2,Married,5295,8423,4,Y,No,14,3,4,80,2,7,3,2,5,4,1,0
37,0,Travel_Rarely,882.0,Research & Development,29,3,Medical,1,546,4,Male,98,3,2,Manufacturing Director,4,Married,6447,17799,6,Y,No,11,3,4,80,1,8,3,2,6,5,4,3
29,0,Travel_Rarely,977.0,Research & Development,26,1,Medical,1,869,4,Male,63,2,1,Laboratory Technician,4,Married,3812,25166,1,Y,No,15,3,4,80,1,11,4,2,11,8,3,10
36,1,Travel_Rarely,1097.0,Research & Development,12,3,Medical,1,1109,3,Female,61,1,3,Manufacturing Director,2,Married,8858,17369,0,Y,Yes,19,3,1,80,0,15,4,3,14,8,7,8
53,1,Travel_Rarely,249.0,Sales,2,4,Life Sciences,1,1255,2,Female,96,1,2,Sales Executive,4,Married,8381,4761,7,Y,Yes,15,3,2,80,1,18,3,2,14,7,8,10
30,0,Travel_Rarely,1443.0,Sales,11,3,Marketing,1,994,3,Female,62,3,3,Sales Executive,2,Single,7140,18275,2,Y,Yes,17,3,3,80,0,12,2,2,7,7,1,7
46,0,Travel_Rarely,1188.0,Sales,10,2,Marketing,1,387,4,Female,51,3,3,Sales Executive,2,Married,10453,15603,1,Y,No,11,3,1,80,0,24,2,2,17,13,15,7
50,0,Travel_Rarely,264.0,Sales,1,4,Marketing,1,449,3,Male,97,2,1,Sales Representative,4,Married,3875,9369,3,Y,Yes,16,3,2,80,0,4,2,3,2,2,2,2
19,0,Travel_Rarely,1401.0,Sales,1,1,Life Sciences,1,1156,3,Male,95,3,1,Sales Representative,1,Married,2320,20933,1,Y,No,19,3,4,80,1,1,5,3,0,0,0,0
35,0,Travel_Rarely,325.0,Research & Development,6,3,Medical,1,1465,4,Male,81,3,1,Research Scientist,1,Married,2859,19293,1,Y,No,19,3,4,80,0,6,1,3,6,4,0,4
26,0,Travel_Rarely,995.0,Research & Development,1,3,Life Sciences,1,1856,3,Male,64,3,1,Research Scientist,2,Married,2061,5323,1,Y,No,14,3,3,80,3,1,2,3,1,0,0,0
45,0,Travel_Rarely,1066.0,Research & Development,2,5,Medical,1,741,4,Male,77,1,3,Research Director,1,Single,13245,12853,4,Y,No,11,3,4,80,0,17,2,3,0,0,0,0
26,0,Travel_Rarely,638.0,Research & Development,24,3,Life Sciences,1,631,1,Female,95,3,1,Research Scientist,2,Married,2886,17198,1,Y,Yes,12,3,1,80,2,3,3,2,3,2,0,2
27,0,Travel_Rarely,443.0,Research & Development,10,3,Medical,1,683,3,Female,67,3,1,Research Scientist,4,Single,3445,15258,1,Y,No,19,3,4,80,0,6,3,3,6,2,1,4
32,0,Travel_Rarely,575.0,Research & Development,10,3,Medical,1,740,1,Female,94,2,1,Laboratory Technician,2,Married,2370,17663,1,Y,No,11,3,3,80,1,8,2,3,8,0,0,7
45,1,Travel_Rarely,374.0,Research & Development,4,2,Medical,1,246,1,Male,75,3,4,Research Director,4,Married,16704,2253,1,Y,Yes,22,4,3,80,1,21,2,1,21,6,8,6
52,1,Travel_Rarely,1180.0,Research & Development,2,1,Life Sciences,1,1757,2,Female,95,2,2,Research Scientist,3,Single,5577,15431,3,Y,Yes,15,3,3,80,0,18,2,3,10,9,6,9
36,0,Travel_Rarely,466.0,Research & Development,13,4,Life Sciences,1,1938,3,Female,39,3,1,Laboratory Technician,1,Single,3688,26849,4,Y,No,18,3,1,80,0,4,3,3,1,0,0,0
52,0,Travel_Rarely,1379.0,Research & Development,5,3,Medical,1,633,3,Female,93,4,2,Manufacturing Director,3,Married,6132,5615,4,Y,Yes,13,3,1,80,1,10,3,4,1,0,0,0
42,1,Travel_Rarely,1474.0,Sales,2,4,Other,1,1107,4,Female,56,1,2,Sales Executive,3,Single,5087,12549,3,Y,No,22,4,3,80,0,14,2,3,0,0,0,0
33,0,Travel_Rarely,501.0,Sales,10,2,Marketing,1,1196,3,Female,48,2,2,Sales Executive,4,Married,4682,26862,4,Y,No,22,4,2,80,1,9,2,2,7,7,0,1
36,1,Travel_Rarely,428.0,Sales,11,4,Marketing,1,1139,2,Female,41,2,2,Sales Executive,3,Married,9699,24440,3,Y,No,18,3,3,80,1,16,3,3,11,8,1,9
50,0,Non-Travel,1188.0,Sales,18,2,Marketing,1,998,4,Female,90,4,3,Sales Executive,1,Divorced,9208,23288,2,Y,No,19,3,1,80,1,16,2,2,2,1,2,2
27,1,Travel_Rarely,599.0,Sales,17,1,Life Sciences,1,319,3,Female,34,1,2,Sales Representative,2,Single,3540,25681,1,Y,Yes,16,3,1,80,0,9,4,3,9,8,5,8
51,0,Non-Travel,1099.0,Research & Development,8,2,Life Sciences,1,2051,2,Female,98,3,4,Manufacturing Director,1,Divorced,13142,6152,2,Y,No,23,4,2,80,3,29,2,3,5,2,0,3
46,0,Non-Travel,111.0,Research & Development,20,3,Life Sciences,1,743,4,Female,76,3,3,Manufacturing Director,3,Divorced,8578,12916,3,Y,No,21,4,3,80,2,12,5,3,9,8,4,7
57,0,Non-Travel,589.0,Research & Development,5,4,Life Sciences,1,769,2,Male,62,3,2,Healthcare Representative,4,Divorced,6755,13493,2,Y,Yes,11,3,3,80,3,15,3,3,3,2,1,2
45,0,Non-Travel,1062.0,Research & Development,24,4,Life Sciences,1,960,3,Male,36,3,2,Manufacturing Director,3,Divorced,6434,24444,4,Y,No,21,4,2,80,2,9,2,3,3,2,0,2
31,0,Non-Travel,1130.0,Research & Development,2,2,Life Sciences,1,1655,4,Male,82,3,2,Healthcare Representative,1,Divorced,6833,20471,1,Y,No,11,3,2,80,1,6,2,3,6,4,0,5
39,0,Travel_Rarely,1377.0,Sales,12,2,Life Sciences,1,1875,4,Male,94,3,2,Sales Executive,2,Divorced,6893,14470,0,Y,Yes,18,3,3,80,1,11,3,3,8,6,1,6
33,0,Travel_Rarely,1188.0,Sales,1,2,Marketing,1,298,4,Male,52,2,2,Sales Executive,4,Divorced,5368,11439,1,Y,No,19,3,3,80,1,7,2,2,6,5,1,2
30,0,Travel_Rarely,1239.0,Sales,17,3,Medical,1,1027,4,Male,47,3,3,Sales Executive,4,Divorced,7140,16822,2,Y,No,17,3,2,80,1,12,2,2,7,7,1,7
25,1,Travel_Rarely,1168.0,Sales,26,2,Life Sciences,1,936,1,Female,67,2,2,Sales Executive,4,Divorced,4851,23281,1,Y,Yes,23,4,1,80,2,4,2,2,3,2,1,2
28,0,Travel_Rarely,1422.0,Sales,3,4,Life Sciences,1,1693,1,Female,79,3,2,Sales Executive,3,Divorced,5253,22653,1,Y,No,18,3,4,80,1,7,5,3,7,5,0,7
28,1,Travel_Rarely,1496.0,Sales,2,3,Technical Degree,1,1165,1,Female,38,1,1,Sales Representative,4,Divorced,2909,4668,3,Y,No,14,3,1,80,2,5,3,4,3,2,2,2
34,0,Travel_Rarely,645.0,Sales,2,3,Marketing,1,1933,2,Female,53,3,3,Sales Executive,1,Divorced,9888,6992,1,Y,No,13,3,4,80,1,14,2,3,14,8,2,1
30,0,Travel_Rarely,216.0,Sales,25,4,Marketing,1,1580,2,Male,85,3,2,Sales Executive,4,Divorced,4465,14004,0,Y,No,12,3,1,80,3,4,2,2,5,4,0,3
26,0,Travel_Rarely,1212.0,Sales,7,3,Marketing,1,497,3,Male,82,3,2,Sales Executive,2,Divorced,4969,18869,8,Y,Yes,14,3,2,80,1,7,5,2,2,2,2,2
53,0,Travel_Rarely,817.0,Sales,19,1,Marketing,1,1275,2,Male,88,2,3,Sales Executive,3,Divorced,7525,3840,3,Y,No,24,4,1,80,3,30,3,3,15,7,6,12
33,0,Travel_Rarely,635.0,Sales,2,2,Life Sciences,1,1697,2,Male,48,1,2,Sales Executive,4,Divorced,5368,19588,1,Y,No,12,3,3,80,1,7,3,3,6,5,1,2
33,0,Travel_Rarely,1300.0,Sales,21,4,Marketing,1,26,3,Male,46,2,2,Sales Executive,3,Married,8224,19921,1,Y,No,18,3,4,80,2,6,3,3,5,2,0,3
21,0,Non-Travel,1246.0,Sales,10,1,Life Sciences,1,1682,3,Male,69,3,1,Sales Representative,1,Married,3447,17360,1,Y,No,15,3,2,80,1,3,3,3,3,2,1,2
27,0,Non-Travel,1112.0,Sales,26,2,Life Sciences,1,1627,1,Male,80,2,2,Sales Executive,3,Married,9981,12069,1,Y,No,13,3,4,80,2,7,1,3,7,7,0,7
30,0,Non-Travel,585.0,Research & Development,2,3,Medical,1,1449,1,Male,37,3,3,Manufacturing Director,4,Single,9667,25761,6,Y,No,22,4,3,80,0,9,3,2,7,7,0,2
44,0,Travel_Rarely,671.0,Research & Development,10,2,Medical,1,158,3,Male,79,3,3,Manufacturing Director,1,Married,10209,4984,5,Y,No,15,3,4,80,3,16,2,2,2,2,2,2
47,0,Non-Travel,343.0,Research & Development,10,2,Life Sciences,1,1125,1,Male,85,2,1,Research Scientist,3,Married,2821,23384,3,Y,No,13,3,3,80,1,8,2,2,2,2,2,2
40,0,Non-Travel,1476.0,Research & Development,25,3,Medical,1,1625,2,Male,63,2,3,Research Director,4,Single,13499,13084,9,Y,No,12,3,4,80,0,20,2,3,18,7,2,13
35,0,Non-Travel,391.0,Research & Development,6,3,Technical Degree,1,1683,3,Male,38,2,2,Laboratory Technician,1,Married,4425,20251,5,Y,No,12,3,1,80,1,10,3,3,6,2,1,2
50,0,Non-Travel,1225.0,Sales,12,4,Life Sciences,1,1682,2,Male,64,3,4,Manager,3,Single,17924,14470,1,Y,No,16,3,2,80,0,31,3,3,31,6,14,7
35,0,Travel_Rarely,1229.0,Sales,15,4,Technical Degree,1,74,1,Male,100,2,2,Sales Executive,4,Single,4581,7858,4,Y,No,22,4,4,80,0,13,3,3,11,9,6,7
53,0,Travel_Rarely,703.0,Sales,28,4,Marketing,1,124,4,Male,94,2,3,Sales Executive,4,Married,7525,16586,2,Y,No,19,3,4,80,2,30,2,3,15,7,6,12
32,0,Travel_Rarely,736.0,Sales,3,3,Life Sciences,1,14,3,Female,92,4,2,Sales Executive,1,Single,5228,7192,1,Y,No,18,3,3,80,0,13,0,3,13,12,11,9
27,0,Travel_Rarely,381.0,Research & Development,10,2,Life Sciences,1,1411,1,Female,36,3,1,Research Scientist,4,Married,3506,11591,0,Y,No,14,3,1,80,0,4,1,3,3,2,2,2
28,0,Travel_Rarely,1354.0,Research & Development,10,2,Medical,1,747,3,Female,94,3,1,Laboratory Technician,1,Married,3196,11563,0,Y,No,22,4,4,80,1,6,5,3,5,1,0,4
33,0,Travel_Rarely,603.0,Research & Development,18,3,Medical,1,1802,2,Female,72,2,1,Laboratory Technician,4,Single,2496,26314,4,Y,Yes,11,3,4,80,0,7,2,3,1,1,0,0
52,0,Travel_Rarely,469.0,Research & Development,10,2,Life Sciences,1,987,4,Female,74,4,4,Manager,3,Divorced,16555,22495,2,Y,No,18,3,3,80,1,31,3,3,5,2,1,4
52,0,Travel_Frequently,1037.0,Research & Development,8,4,Life Sciences,1,1887,2,Female,79,3,5,Manager,4,Married,19999,19730,0,Y,Yes,13,3,3,80,1,34,2,3,31,16,11,9
18,0,Travel_Frequently,337.0,Sales,5,3,Marketing,1,1504,3,Female,45,2,1,Sales Representative,1,Single,1200,14776,1,Y,No,12,3,3,80,0,0,3,3,0,0,0,0
53,0,Travel_Frequently,1188.0,Sales,23,2,Marketing,1,1171,4,Female,77,3,3,Sales Executive,3,Married,10266,20206,2,Y,No,11,3,4,80,1,34,2,2,15,7,6,12
30,0,Travel_Frequently,309.0,Sales,11,4,Life Sciences,1,1136,4,Female,67,2,2,Sales Executive,2,Single,6696,5860,5,Y,Yes,11,3,1,80,0,9,5,3,6,3,0,1
35,0,Travel_Rarely,776.0,Sales,14,4,Marketing,1,1935,3,Female,51,2,2,Sales Executive,1,Married,4312,22930,0,Y,No,18,3,3,80,1,16,2,3,15,13,2,8
34,0,Travel_Rarely,884.0,Sales,3,3,Life Sciences,1,936,2,Female,68,2,2,Sales Executive,4,Single,4001,7192,1,Y,No,13,3,1,80,0,15,5,3,15,14,0,7
46,1,Travel_Rarely,1449.0,Sales,18,2,Marketing,1,743,1,Female,79,3,5,Manager,1,Single,18789,26314,2,Y,Yes,21,4,4,80,0,26,2,3,11,4,0,8
26,0,Travel_Rarely,256.0,Sales,7,3,Medical,1,1935,3,Female,95,4,2,Sales Executive,1,Married,4684,16044,1,Y,No,11,3,3,80,1,5,5,3,5,3,1,2
31,0,Travel_Rarely,605.0,Sales,7,4,Life Sciences,1,1612,4,Female,81,3,3,Manager,1,Married,11557,13401,9,Y,Yes,18,3,1,80,0,10,2,2,5,4,0,1
34,0,Travel_Rarely,584.0,Sales,19,4,Life Sciences,1,1720,3,Male,71,3,1,Sales Representative,1,Married,2220,5141,1,Y,Yes,12,3,1,80,1,1,4,4,1,0,0,1
31,0,Travel_Rarely,1422.0,Sales,8,4,Life Sciences,1,1870,1,Female,77,3,2,Sales Executive,1,Single,5468,8202,1,Y,No,12,3,4,80,0,13,5,3,12,7,5,7
24,0,Travel_Rarely,955.0,Sales,10,2,Life Sciences,1,639,4,Female,48,2,1,Sales Representative,1,Married,2033,9953,1,Y,Yes,13,3,1,80,1,1,0,3,1,0,0,0
41,0,Travel_Rarely,326.0,Sales,27,3,Life Sciences,1,1680,3,Male,98,2,2,Sales Executive,3,Married,8938,13492,2,Y,No,15,3,1,80,1,14,2,3,4,3,1,1
53,1,Travel_Rarely,1254.0,Sales,7,3,Life Sciences,1,1121,3,Male,93,3,3,Sales Executive,3,Single,7525,22845,2,Y,No,25,4,2,80,0,30,2,3,15,7,6,12
34,1,Travel_Rarely,1434.0,Research & Development,1,3,Medical,1,479,3,Male,96,3,2,Healthcare Representative,3,Married,5343,9369,0,Y,Yes,17,3,2,80,0,14,5,2,11,8,4,9
40,0,Travel_Rarely,1070.0,Research & Development,24,1,Life Sciences,1,1615,3,Male,48,2,2,Healthcare Representative,4,Single,6377,5843,3,Y,Yes,16,3,2,80,0,15,3,2,11,7,1,11
36,0,Travel_Rarely,153.0,Research & Development,2,4,Life Sciences,1,635,4,Male,76,2,3,Healthcare Representative,1,Married,8008,15896,2,Y,Yes,18,3,2,80,0,9,3,3,3,2,0,2
57,0,Travel_Rarely,362.0,Research & Development,17,4,Medical,1,7,3,Female,40,3,2,Research Scientist,2,Married,4900,25927,0,Y,No,19,3,4,80,1,13,3,2,12,9,2,8
24,0,Travel_Rarely,1117.0,Research & Development,8,3,Medical,1,762,4,Female,85,2,2,Research Scientist,1,Married,4735,22317,7,Y,No,15,3,3,80,1,16,3,3,16,15,2,10
26,0,Travel_Rarely,933.0,Research & Development,23,3,Life Sciences,1,1137,3,Female,77,2,1,Research Scientist,1,Single,2061,7018,1,Y,No,15,3,4,80,0,1,2,3,1,0,0,0
54,1,Travel_Rarely,238.0,Research & Development,10,3,Medical,1,1237,1,Female,78,2,3,Research Director,2,Single,13549,5915,9,Y,Yes,11,3,1,80,0,16,2,3,9,4,0,4
56,0,Travel_Rarely,1055.0,Research & Development,11,4,Life Sciences,1,960,1,Female,93,3,1,Research Scientist,4,Married,4963,20328,9,Y,No,12,3,1,80,0,7,2,3,5,4,4,3
29,0,Travel_Rarely,1379.0,Research & Development,17,2,Life Sciences,1,1837,3,Male,97,3,1,Research Scientist,1,Married,2700,9769,1,Y,Yes,16,3,2,80,0,10,3,4,10,7,0,7
32,0,Travel_Rarely,581.0,Research & Development,5,3,Medical,1,355,3,Male,98,2,1,Laboratory Technician,4,Married,3937,21534,0,Y,No,18,3,2,80,1,6,1,3,6,3,1,1
31,0,Travel_Frequently,240.0,Research & Development,9,3,Other,1,1408,1,Male,58,2,1,Laboratory Technician,2,Married,3479,25063,0,Y,Yes,13,3,4,80,0,6,3,3,5,4,1,4
33,0,Travel_Frequently,1255.0,Research & Development,2,3,Medical,1,1121,1,Female,75,3,4,Research Director,4,Married,16184,2323,3,Y,No,12,3,2,80,0,10,3,4,6,1,0,5
35,0,Travel_Frequently,692.0,Research & Development,6,4,Medical,1,1125,3,Male,55,2,1,Laboratory Technician,1,Married,4014,20419,3,Y,No,18,3,3,80,1,4,2,3,2,2,2,2
47,0,Travel_Frequently,592.0,Research & Development,8,3,Medical,1,729,4,Male,43,2,1,Research Scientist,1,Single,2419,9983,4,Y,No,15,3,1,80,0,8,2,3,3,2,1,2
31,0,Travel_Frequently,1398.0,Human Resources,6,2,Medical,1,174,4,Male,87,3,1,Human Resources,1,Divorced,2109,4303,9,Y,No,19,3,4,80,2,8,3,3,3,2,0,2
40,0,Travel_Rarely,1474.0,Research & Development,1,1,Medical,1,533,2,Male,60,2,5,Manager,1,Married,19033,6842,1,Y,No,11,3,2,80,1,21,5,3,20,3,9,9
36,1,Non-Travel,725.0,Research & Development,4,3,Medical,1,1805,4,Male,66,3,1,Laboratory Technician,2,Divorced,2835,10778,4,Y,Yes,14,3,4,80,1,7,2,3,1,0,0,0
38,0,Non-Travel,950.0,Research & Development,19,1,Life Sciences,1,753,4,Male,49,3,2,Research Scientist,3,Divorced,4735,9075,7,Y,No,11,3,4,80,1,19,3,2,12,11,2,9
33,0,Travel_Rarely,1055.0,Research & Development,17,4,Life Sciences,1,1167,1,Female,42,2,2,Laboratory Technician,4,Single,5207,25927,1,Y,No,13,3,2,80,0,15,2,3,15,14,5,7
24,0,Travel_Rarely,1242.0,Research & Development,11,4,Life Sciences,1,485,3,Female,42,3,1,Laboratory Technician,3,Single,2210,24439,1,Y,No,16,3,2,80,0,1,4,3,1,0,0,0
31,0,Travel_Rarely,480.0,Research & Development,10,2,Medical,1,113,2,Female,70,3,2,Manufacturing Director,4,Divorced,4306,9724,1,Y,No,16,3,3,80,1,13,5,1,14,9,3,12
25,0,Travel_Rarely,1103.0,Research & Development,23,4,Life Sciences,1,31,3,Female,83,2,2,Manufacturing Director,2,Divorced,4227,20206,0,Y,No,12,3,4,80,1,4,3,2,3,2,2,2
49,0,Travel_Rarely,461.0,Research & Development,3,4,Life Sciences,1,742,4,Female,71,4,2,Manufacturing Director,2,Divorced,6804,8039,1,Y,No,13,3,1,80,2,7,3,3,7,7,1,7
38,0,Travel_Rarely,490.0,Research & Development,8,4,Life Sciences,1,1129,4,Male,36,3,1,Research Scientist,4,Divorced,4771,20431,2,Y,No,12,3,4,80,1,10,2,2,5,2,0,3
59,0,Travel_Rarely,376.0,Research & Development,1,3,Medical,1,1497,4,Male,56,1,1,Laboratory Technician,4,Divorced,2670,7636,4,Y,Yes,15,3,3,80,1,12,4,3,1,0,0,0
38,0,Travel_Rarely,775.0,Research & Development,9,2,Medical,1,1802,4,Male,82,2,1,Laboratory Technician,2,Divorced,2468,3735,4,Y,No,14,3,4,80,2,9,2,2,6,1,0,5
28,0,Travel_Rarely,1401.0,Research & Development,8,3,Medical,1,727,4,Male,54,3,1,Laboratory Technician,1,Divorced,2596,9278,1,Y,No,16,3,4,80,1,1,5,3,1,0,0,0
35,0,Travel_Rarely,1180.0,Research & Development,4,3,Life Sciences,1,1177,2,Male,67,2,2,Research Scientist,4,Divorced,4249,8450,6,Y,No,19,3,1,80,3,9,5,3,6,5,1,1
32,0,Travel_Rarely,448.0,Research & Development,26,2,Life Sciences,1,1456,3,Female,52,3,1,Research Scientist,1,Divorced,2432,14864,1,Y,Yes,16,3,4,80,1,5,2,2,4,1,0,3
35,0,Travel_Rarely,1062.0,Research & Development,2,3,Life Sciences,1,721,3,Female,37,2,1,Laboratory Technician,2,Divorced,1281,8935,1,Y,No,13,3,1,80,1,1,2,3,1,0,0,0
20,0,Travel_Rarely,879.0,Research & Development,1,1,Life Sciences,1,1293,3,Female,95,3,1,Laboratory Technician,1,Married,2973,19383,0,Y,Yes,18,3,4,80,1,1,3,3,1,0,0,0
31,0,Travel_Rarely,492.0,Research & Development,18,1,Life Sciences,1,83,4,Male,61,3,1,Research Scientist,4,Divorced,2911,21495,1,Y,No,24,4,1,80,2,5,3,3,5,2,4,3
