age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
60,management,married,tertiary,no,0.0,no,no,cellular,27,aug,124,3,-1,0,unknown,0
35,services,single,tertiary,no,1685.0,yes,no,cellular,15,may,384,1,-1,0,unknown,0
49,blue-collar,married,primary,no,1222.0,yes,no,cellular,9,jul,120,1,-1,0,unknown,0
46,admin.,single,tertiary,no,616.0,no,no,cellular,5,aug,76,1,-1,0,unknown,0
48,blue-collar,married,primary,no,275.0,yes,no,cellular,17,jul,124,1,-1,0,unknown,0
51,management,single,tertiary,no,2103.0,yes,no,cellular,6,may,633,1,1,2,failure,0
46,blue-collar,married,primary,yes,44.0,no,no,unknown,5,jun,229,1,-1,0,unknown,0
47,management,married,secondary,no,1487.0,no,no,cellular,11,feb,483,1,92,4,failure,0
36,blue-collar,married,secondary,no,8000.0,no,no,cellular,9,nov,154,1,56,1,other,1
36,unemployed,single,tertiary,no,206.0,no,no,cellular,21,jul,501,4,-1,0,unknown,1
47,management,single,tertiary,no,39913.0,yes,no,cellular,21,apr,131,2,-1,0,unknown,1
49,management,married,tertiary,no,2442.0,no,yes,cellular,7,jul,93,1,-1,0,unknown,0
33,management,married,tertiary,no,5397.0,no,no,cellular,12,aug,392,4,119,2,success,1
38,technician,single,tertiary,no,947.0,yes,no,cellular,27,apr,191,2,121,2,failure,1
36,technician,single,tertiary,no,1000.0,yes,no,cellular,7,may,34,1,-1,0,unknown,0
48,services,married,secondary,no,4467.0,yes,no,cellular,8,may,462,5,-1,0,unknown,1
53,housemaid,divorced,primary,no,3418.0,no,no,cellular,20,jun,292,5,166,2,failure,1
48,admin.,married,secondary,no,0.0,yes,yes,cellular,11,jul,164,2,-1,0,unknown,0
54,retired,married,secondary,yes,411.0,no,no,telephone,15,oct,112,2,227,5,failure,1
36,management,single,tertiary,no,5901.0,no,no,cellular,20,nov,472,2,-1,0,unknown,1
40,management,married,tertiary,no,0.0,no,no,unknown,5,jun,1159,6,-1,0,unknown,1
47,housemaid,married,primary,no,27.0,no,no,cellular,14,aug,253,4,-1,0,unknown,0
73,retired,married,secondary,no,350.0,no,no,cellular,20,aug,35,1,-1,0,unknown,0
71,retired,divorced,primary,no,638.0,no,no,cellular,12,aug,327,1,295,2,failure,1
18,student,single,tertiary,no,0.0,no,no,cellular,17,aug,676,1,-1,0,unknown,1
36,admin.,married,secondary,no,1.0,yes,no,cellular,7,apr,353,2,316,2,failure,0
30,blue-collar,married,secondary,no,887.0,yes,no,cellular,11,may,236,1,-1,0,unknown,0
42,blue-collar,single,secondary,no,3.0,yes,no,cellular,14,may,270,5,-1,0,unknown,0
45,technician,married,tertiary,no,2.0,yes,yes,cellular,15,may,477,1,-1,0,unknown,0
37,blue-collar,single,secondary,no,426.0,yes,no,cellular,25,feb,138,2,80,1,other,1
31,admin.,single,secondary,no,1060.0,yes,no,cellular,3,feb,1626,4,196,7,failure,0
53,management,single,secondary,no,261.0,no,no,cellular,27,sep,232,1,117,1,failure,0
34,blue-collar,married,primary,no,289.0,no,no,cellular,7,jul,51,7,-1,0,unknown,0
29,management,single,tertiary,no,0.0,no,no,cellular,26,may,766,1,-1,0,unknown,1
71,retired,married,secondary,no,2912.0,no,no,cellular,9,sep,661,1,96,13,success,1
48,management,married,tertiary,no,387.0,yes,no,cellular,6,may,41,3,153,4,failure,0
44,technician,single,secondary,no,4.0,no,no,cellular,5,aug,256,4,-1,0,unknown,0
41,technician,single,secondary,no,776.0,no,no,cellular,28,jun,314,1,490,4,success,1
37,management,single,tertiary,no,1129.0,yes,no,cellular,10,dec,129,1,-1,0,unknown,1
32,unemployed,married,secondary,no,1536.0,yes,no,cellular,8,jul,240,1,364,2,other,1
36,blue-collar,married,secondary,no,1315.0,no,no,unknown,20,may,268,2,-1,0,unknown,0
33,management,married,tertiary,no,2383.0,no,no,cellular,6,aug,1044,6,-1,0,unknown,1
32,technician,single,secondary,no,113.0,no,no,cellular,27,aug,102,3,-1,0,unknown,0
56,technician,married,secondary,no,804.0,yes,yes,cellular,13,may,60,1,371,1,failure,0
39,technician,single,secondary,no,3599.0,yes,no,cellular,15,apr,688,3,-1,0,unknown,0
42,services,divorced,secondary,no,81.0,no,yes,cellular,29,jul,348,4,-1,0,unknown,0
52,management,married,tertiary,no,5332.0,no,no,cellular,26,may,640,1,-1,0,unknown,1
31,blue-collar,married,primary,no,687.0,yes,no,cellular,20,apr,295,2,425,4,failure,0
41,blue-collar,married,secondary,no,801.0,no,no,cellular,18,mar,187,2,-1,0,unknown,1
32,student,single,secondary,no,111.0,no,no,cellular,13,may,489,1,330,1,success,1
46,management,married,tertiary,no,0.0,no,no,unknown,20,jun,30,6,-1,0,unknown,0
26,admin.,married,secondary,no,185.0,no,no,cellular,3,feb,839,4,366,1,failure,1
32,management,single,tertiary,no,2460.0,no,no,cellular,23,sep,170,1,102,3,success,1
40,services,single,secondary,no,502.0,no,no,cellular,11,feb,204,1,91,1,success,1
28,management,single,tertiary,no,829.0,yes,no,cellular,15,may,31,1,-1,0,unknown,0
25,admin.,married,secondary,no,285.0,yes,no,cellular,25,may,77,2,-1,0,unknown,0
51,blue-collar,married,secondary,no,-135.0,no,no,cellular,12,aug,84,6,-1,0,unknown,0
30,blue-collar,single,secondary,no,246.0,yes,no,unknown,18,jun,135,6,-1,0,unknown,0
51,technician,married,secondary,no,828.0,yes,no,cellular,8,apr,206,2,-1,0,unknown,0
27,blue-collar,single,secondary,no,101.0,yes,no,unknown,26,may,322,12,-1,0,unknown,0
37,management,divorced,tertiary,no,581.0,no,no,cellular,4,may,202,1,85,4,success,1
22,student,single,secondary,no,4198.0,no,no,cellular,19,nov,129,7,-1,0,unknown,0
30,management,single,tertiary,no,3675.0,no,no,cellular,23,jul,600,8,-1,0,unknown,0
33,services,single,tertiary,no,667.0,no,no,cellular,29,jan,125,1,-1,0,unknown,0
28,unemployed,single,primary,no,1350.0,no,no,cellular,18,nov,855,1,-1,0,unknown,0
33,management,single,tertiary,no,0.0,no,no,cellular,12,aug,170,4,-1,0,unknown,0
27,services,married,secondary,no,1624.0,no,no,cellular,9,feb,71,2,69,8,failure,1
57,management,married,tertiary,no,7891.0,no,no,cellular,29,aug,155,2,221,3,other,1
45,management,married,tertiary,no,226.0,yes,no,cellular,25,jul,222,1,-1,0,unknown,0
36,services,married,secondary,no,0.0,no,no,cellular,16,sep,562,2,-1,0,unknown,1
32,technician,single,tertiary,no,83.0,no,no,cellular,27,apr,161,1,-1,0,unknown,1
40,technician,single,tertiary,no,813.0,no,no,cellular,17,sep,414,2,76,1,other,1
30,admin.,single,secondary,no,6.0,no,no,cellular,5,feb,37,1,-1,0,unknown,0
35,blue-collar,married,primary,no,379.0,yes,no,cellular,21,jul,317,1,-1,0,unknown,0
37,blue-collar,married,primary,no,573.0,yes,no,cellular,5,may,180,9,541,3,failure,0
27,management,single,tertiary,no,62.0,yes,no,cellular,5,jun,262,4,-1,0,unknown,1
38,admin.,divorced,secondary,no,132.0,yes,no,unknown,29,may,326,3,-1,0,unknown,0
42,technician,married,secondary,no,-204.0,no,yes,unknown,20,jun,66,3,-1,0,unknown,0
26,technician,single,secondary,no,341.0,yes,no,unknown,9,jun,1395,1,-1,0,unknown,1
34,management,divorced,tertiary,no,574.0,yes,no,cellular,27,aug,765,1,551,5,failure,1
27,self-employed,married,tertiary,no,4388.0,no,no,cellular,16,oct,175,1,80,1,success,1
35,management,married,tertiary,no,2053.0,no,no,cellular,4,may,338,2,-1,0,unknown,1
25,management,single,unknown,no,89.0,yes,no,cellular,20,apr,564,4,-1,0,unknown,0
43,management,married,tertiary,no,2531.0,no,no,cellular,10,mar,491,2,406,1,failure,1
33,services,married,secondary,no,288.0,yes,yes,cellular,20,apr,326,1,-1,0,unknown,1
31,blue-collar,married,secondary,no,405.0,no,no,cellular,12,nov,226,1,184,1,success,1
43,services,married,secondary,no,247.0,yes,no,cellular,15,jul,129,6,-1,0,unknown,0
35,management,married,tertiary,no,1400.0,no,no,unknown,5,jun,422,1,-1,0,unknown,0
28,blue-collar,single,secondary,no,275.0,no,no,cellular,31,jul,30,12,-1,0,unknown,0
35,management,single,tertiary,no,3400.0,yes,no,cellular,14,apr,8,1,-1,0,unknown,0
44,admin.,single,secondary,no,728.0,yes,no,cellular,30,apr,319,1,-1,0,unknown,0
48,services,married,secondary,no,-36.0,yes,no,cellular,6,may,513,2,-1,0,unknown,1
31,blue-collar,single,primary,no,54.0,yes,no,cellular,21,aug,350,1,91,6,success,1
24,services,single,secondary,no,167.0,yes,yes,cellular,9,jul,268,1,-1,0,unknown,0
38,management,married,tertiary,no,967.0,yes,no,cellular,13,may,663,4,-1,0,unknown,1
56,housemaid,divorced,primary,no,48.0,yes,no,cellular,5,may,134,1,352,1,failure,0
49,management,single,tertiary,no,897.0,yes,no,cellular,28,jul,59,5,-1,0,unknown,0
31,blue-collar,married,primary,no,437.0,yes,no,cellular,11,may,689,2,-1,0,unknown,1
35,entrepreneur,married,tertiary,no,1536.0,yes,no,cellular,13,may,538,1,344,5,failure,1
58,admin.,single,secondary,no,1683.0,no,no,unknown,11,jun,89,1,-1,0,unknown,0
61,admin.,married,secondary,no,671.0,yes,no,unknown,27,may,62,2,-1,0,unknown,0
47,blue-collar,married,primary,no,982.0,yes,no,cellular,20,apr,90,1,-1,0,unknown,0
45,unemployed,single,secondary,no,217.0,yes,no,cellular,16,apr,1441,3,183,1,failure,1
26,blue-collar,single,tertiary,no,973.0,no,yes,cellular,21,nov,143,2,-1,0,unknown,0
54,technician,married,tertiary,no,1989.0,no,no,unknown,16,jun,146,3,-1,0,unknown,0
43,management,married,tertiary,yes,4208.0,no,no,cellular,14,aug,665,2,-1,0,unknown,1
30,services,single,secondary,no,87.0,no,no,telephone,16,nov,296,1,-1,0,unknown,0
37,management,married,tertiary,no,228.0,yes,no,cellular,20,aug,439,2,290,4,failure,1
61,technician,married,primary,no,4855.0,no,no,cellular,19,aug,422,3,-1,0,unknown,1
49,technician,single,tertiary,no,228.0,yes,no,cellular,26,may,129,1,-1,0,unknown,0
36,student,single,unknown,no,2193.0,no,no,telephone,6,feb,217,3,-1,0,unknown,0
57,blue-collar,married,primary,no,4622.0,no,no,telephone,20,nov,61,2,-1,0,unknown,0
66,retired,married,secondary,no,2165.0,no,no,telephone,29,jan,33,1,-1,0,unknown,0
41,management,married,secondary,no,1534.0,yes,no,cellular,30,jul,217,6,-1,0,unknown,0
38,blue-collar,single,secondary,no,0.0,yes,no,cellular,7,may,431,2,-1,0,unknown,1
36,technician,single,secondary,no,56.0,yes,no,cellular,20,apr,162,1,-1,0,unknown,0
41,admin.,divorced,secondary,no,843.0,no,no,cellular,24,mar,329,2,-1,0,unknown,0
30,technician,single,secondary,no,1832.0,no,no,cellular,19,aug,296,6,-1,0,unknown,0
36,technician,single,secondary,no,1415.0,yes,no,cellular,16,nov,198,1,98,7,success,1
26,technician,single,secondary,no,1313.0,no,no,cellular,22,aug,97,2,-1,0,unknown,0
26,blue-collar,single,primary,no,64.0,yes,yes,unknown,5,may,7,8,-1,0,unknown,0
30,blue-collar,single,secondary,no,874.0,yes,yes,cellular,29,jan,397,2,213,2,failure,0
38,technician,single,secondary,no,2583.0,no,no,cellular,5,feb,198,2,-1,0,unknown,0
59,retired,divorced,secondary,no,173.0,no,no,unknown,27,may,1140,6,-1,0,unknown,1
44,technician,married,secondary,no,2216.0,no,no,cellular,1,jun,807,1,-1,0,unknown,1
28,technician,single,secondary,no,283.0,yes,no,unknown,16,may,551,1,-1,0,unknown,0
32,management,single,tertiary,no,3987.0,yes,no,cellular,5,aug,187,2,-1,0,unknown,0
52,services,married,secondary,no,-274.0,yes,no,unknown,8,may,456,2,-1,0,unknown,0
55,blue-collar,married,primary,no,3.0,no,yes,cellular,5,feb,590,1,-1,0,unknown,0
46,blue-collar,single,secondary,no,96.0,yes,no,unknown,15,may,777,4,-1,0,unknown,0
43,unemployed,married,secondary,no,2678.0,no,no,cellular,5,aug,302,1,-1,0,unknown,0
38,unemployed,single,secondary,no,35.0,no,no,cellular,5,aug,607,3,-1,0,unknown,1
28,blue-collar,married,secondary,no,97.0,yes,no,unknown,21,may,333,2,-1,0,unknown,0
48,blue-collar,married,primary,no,7578.0,yes,yes,telephone,8,may,51,1,93,2,failure,0
39,management,married,secondary,no,997.0,no,no,cellular,4,feb,361,2,-1,0,unknown,1
56,management,divorced,tertiary,no,0.0,yes,no,cellular,28,jul,1000,1,-1,0,unknown,0
34,admin.,divorced,secondary,no,0.0,yes,no,cellular,22,jul,1170,1,-1,0,unknown,0
26,self-employed,single,tertiary,no,793.0,no,no,cellular,22,sep,255,1,1,4,success,1
54,technician,married,secondary,no,2473.0,no,no,cellular,21,aug,614,3,-1,0,unknown,1
51,blue-collar,married,secondary,no,1138.0,no,no,cellular,2,feb,1019,3,-1,0,unknown,0
39,management,divorced,tertiary,no,1269.0,no,yes,cellular,28,jul,97,3,-1,0,unknown,0
53,technician,married,tertiary,no,1968.0,yes,no,unknown,12,may,87,2,-1,0,unknown,0
33,management,divorced,secondary,no,-151.0,yes,no,cellular,25,may,150,2,372,4,failure,0
34,blue-collar,single,secondary,no,3832.0,yes,no,unknown,5,may,68,5,-1,0,unknown,0
57,blue-collar,divorced,primary,no,588.0,yes,no,unknown,20,may,118,1,-1,0,unknown,0
47,blue-collar,married,secondary,no,-40.0,yes,no,unknown,9,may,229,1,-1,0,unknown,0
44,management,married,secondary,no,-462.0,yes,yes,unknown,27,may,441,2,-1,0,unknown,0
36,entrepreneur,divorced,tertiary,no,145.0,yes,no,cellular,5,aug,345,1,-1,0,unknown,0
29,blue-collar,divorced,secondary,no,70.0,no,no,cellular,22,aug,131,3,-1,0,unknown,0
44,technician,married,secondary,no,1261.0,no,no,telephone,4,aug,79,1,-1,0,unknown,0
49,technician,married,secondary,no,1841.0,yes,yes,unknown,3,jun,256,2,-1,0,unknown,0
44,entrepreneur,married,secondary,no,2145.0,yes,no,unknown,9,may,384,1,-1,0,unknown,0
48,management,divorced,tertiary,no,3995.0,yes,no,cellular,3,feb,275,1,-1,0,unknown,1
48,admin.,divorced,secondary,no,3837.0,yes,no,unknown,26,may,922,2,-1,0,unknown,0
41,entrepreneur,divorced,tertiary,no,1076.0,yes,no,cellular,6,may,38,1,-1,0,unknown,0
48,blue-collar,divorced,secondary,no,0.0,yes,no,cellular,31,jul,17,25,-1,0,unknown,0
76,retired,married,secondary,no,0.0,no,no,cellular,2,jun,197,1,92,3,failure,0
73,retired,married,primary,no,651.0,no,no,cellular,6,feb,164,1,-1,0,unknown,1
28,student,single,tertiary,no,794.0,no,no,cellular,17,nov,97,1,-1,0,unknown,0
35,admin.,single,unknown,no,224.0,yes,no,cellular,5,may,163,2,346,1,failure,0
39,management,married,tertiary,no,1.0,yes,no,cellular,2,mar,479,2,383,2,other,1
46,management,divorced,tertiary,no,6783.0,yes,no,cellular,19,nov,819,1,-1,0,unknown,1
40,technician,divorced,secondary,no,276.0,no,no,cellular,28,aug,76,3,-1,0,unknown,0
41,blue-collar,divorced,secondary,no,385.0,yes,no,cellular,5,aug,745,3,88,2,other,1
39,management,married,primary,no,2855.0,no,no,cellular,7,jul,269,1,-1,0,unknown,1
59,unknown,married,unknown,no,353.0,no,no,cellular,14,aug,563,7,-1,0,unknown,1
23,student,single,secondary,no,1304.0,no,no,cellular,7,sep,215,3,180,3,failure,1
31,admin.,single,secondary,no,590.0,no,no,cellular,11,nov,113,3,98,4,failure,0
34,services,married,secondary,no,386.0,no,no,cellular,18,nov,537,1,-1,0,unknown,0
22,student,single,tertiary,no,2144.0,no,no,cellular,17,apr,327,3,-1,0,unknown,1
28,technician,single,tertiary,no,330.0,no,no,cellular,1,sep,240,3,182,4,failure,1
28,services,single,secondary,no,4041.0,no,no,cellular,30,apr,268,1,180,2,failure,1
45,housemaid,married,primary,no,0.0,yes,no,cellular,2,feb,138,1,-1,0,unknown,1
51,blue-collar,married,primary,no,518.0,no,no,cellular,21,aug,810,6,-1,0,unknown,0
29,unemployed,single,primary,no,667.0,no,no,cellular,9,jun,213,1,-1,0,unknown,1
30,management,married,tertiary,no,80.0,no,no,cellular,13,aug,255,1,-1,0,unknown,1
33,admin.,married,secondary,no,81.0,yes,no,cellular,13,may,104,2,-1,0,unknown,0
55,unknown,married,tertiary,no,2945.0,no,no,cellular,2,feb,251,1,-1,0,unknown,1
32,management,single,tertiary,no,8.0,no,no,cellular,19,aug,63,6,-1,0,unknown,0
55,housemaid,married,secondary,no,1.0,no,no,cellular,23,apr,424,3,-1,0,unknown,1
37,management,married,tertiary,no,2.0,yes,yes,cellular,20,nov,98,2,179,1,failure,0
46,technician,single,tertiary,no,655.0,no,no,cellular,17,nov,178,1,-1,0,unknown,0
57,admin.,married,secondary,no,363.0,yes,no,cellular,6,may,432,1,-1,0,unknown,1
31,management,single,tertiary,no,7175.0,no,no,unknown,18,jun,177,6,-1,0,unknown,0
34,admin.,married,secondary,no,0.0,no,no,telephone,10,mar,269,3,-1,0,unknown,1
23,student,single,secondary,no,12543.0,yes,no,cellular,6,sep,120,5,91,7,success,1
55,management,single,tertiary,no,2050.0,no,no,cellular,12,aug,506,2,-1,0,unknown,0
38,management,single,tertiary,no,1311.0,yes,no,cellular,19,nov,613,1,-1,0,unknown,1
51,housemaid,married,secondary,no,475.0,yes,no,cellular,29,jan,249,2,41,5,other,0
29,technician,single,secondary,no,587.0,no,no,cellular,16,nov,363,1,91,1,success,1
42,blue-collar,married,secondary,no,953.0,yes,no,cellular,30,apr,268,1,119,1,failure,1
49,management,married,tertiary,no,712.0,yes,yes,unknown,5,may,144,1,-1,0,unknown,0
46,unemployed,married,secondary,no,415.0,no,yes,cellular,17,nov,114,1,-1,0,unknown,0
45,admin.,married,secondary,no,4101.0,yes,no,cellular,15,jan,40,2,2,2,failure,0
41,blue-collar,married,secondary,no,2093.0,no,no,cellular,12,oct,661,1,165,6,failure,1
50,technician,married,secondary,no,52.0,yes,no,cellular,7,may,357,2,-1,0,unknown,0
38,admin.,single,secondary,no,47.0,yes,no,cellular,2,jul,401,6,-1,0,unknown,1
71,retired,divorced,secondary,no,1957.0,no,no,cellular,3,jun,174,1,139,1,success,1
32,management,married,tertiary,no,2728.0,no,no,cellular,12,aug,290,3,-1,0,unknown,1
39,blue-collar,married,secondary,no,45.0,no,no,unknown,14,may,252,1,-1,0,unknown,0
35,blue-collar,married,secondary,no,0.0,yes,no,cellular,20,nov,37,1,-1,0,unknown,0
43,admin.,single,secondary,no,597.0,no,yes,cellular,20,aug,28,16,-1,0,unknown,0
31,blue-collar,single,secondary,no,673.0,yes,no,cellular,28,jul,458,6,-1,0,unknown,1
55,management,single,tertiary,no,0.0,yes,no,telephone,28,oct,115,1,-1,0,unknown,1
35,technician,married,secondary,no,1204.0,no,no,cellular,30,apr,440,1,-1,0,unknown,1
68,retired,married,secondary,no,2205.0,no,no,telephone,22,dec,1067,5,-1,0,unknown,1
49,services,married,secondary,yes,974.0,yes,no,unknown,21,may,179,9,-1,0,unknown,0
33,services,single,secondary,no,414.0,yes,no,unknown,5,may,631,1,-1,0,unknown,0
47,self-employed,married,unknown,no,196.0,no,no,cellular,16,apr,327,2,-1,0,unknown,1
46,blue-collar,married,secondary,no,2595.0,yes,no,cellular,17,jul,112,1,-1,0,unknown,0
32,technician,single,secondary,no,3850.0,yes,no,cellular,9,jul,399,1,-1,0,unknown,0
30,admin.,single,secondary,no,2329.0,no,no,telephone,20,jun,577,10,-1,0,unknown,1
39,technician,single,tertiary,no,362.0,yes,yes,cellular,20,aug,155,1,92,4,success,1
56,self-employed,married,primary,no,7811.0,no,no,unknown,11,jun,784,3,-1,0,unknown,1
41,blue-collar,married,secondary,no,-198.0,yes,yes,cellular,6,may,359,6,-1,0,unknown,0
32,services,divorced,secondary,no,1376.0,yes,no,cellular,6,nov,209,2,-1,0,unknown,1
41,management,divorced,tertiary,no,5437.0,no,no,cellular,21,jul,410,2,-1,0,unknown,1
57,management,divorced,tertiary,no,1468.0,yes,no,cellular,3,sep,181,1,275,2,success,1
35,entrepreneur,divorced,secondary,no,0.0,yes,no,cellular,23,jul,309,8,-1,0,unknown,0
30,blue-collar,married,secondary,yes,863.0,yes,no,unknown,15,may,1193,1,-1,0,unknown,1
58,entrepreneur,divorced,secondary,no,101.0,no,no,cellular,12,aug,174,3,-1,0,unknown,0
49,blue-collar,divorced,secondary,no,366.0,yes,yes,unknown,17,jun,72,2,-1,0,unknown,0
56,retired,single,tertiary,no,91.0,yes,no,cellular,4,may,275,3,196,1,other,0
40,unknown,married,unknown,no,3511.0,no,no,cellular,28,mar,175,2,85,1,success,1
46,housemaid,married,primary,no,183.0,no,no,cellular,1,sep,363,1,185,2,success,1
37,services,married,primary,no,1101.0,yes,no,cellular,17,jul,152,6,-1,0,unknown,0
25,services,married,primary,no,265.0,yes,no,unknown,5,may,186,1,-1,0,unknown,0
29,management,single,tertiary,no,655.0,no,no,cellular,30,apr,214,1,-1,0,unknown,1
26,services,single,secondary,no,478.0,no,no,cellular,9,apr,253,1,-1,0,unknown,1
34,admin.,single,tertiary,yes,151.0,yes,no,cellular,14,may,908,3,362,11,other,0
64,retired,divorced,primary,no,3324.0,no,no,cellular,3,mar,313,1,521,2,failure,1
27,management,single,tertiary,no,496.0,yes,no,cellular,20,nov,326,4,157,2,failure,0
43,management,single,tertiary,no,253.0,no,no,cellular,15,sep,229,1,183,3,success,1
24,student,single,secondary,no,256.0,no,no,cellular,25,feb,229,1,-1,0,unknown,1
36,management,married,tertiary,no,279.0,no,no,cellular,22,aug,111,8,-1,0,unknown,0
47,admin.,married,secondary,no,938.0,no,no,cellular,30,apr,365,1,-1,0,unknown,1
37,management,single,tertiary,no,1257.0,no,no,cellular,16,nov,160,2,-1,0,unknown,1
40,blue-collar,married,primary,no,127.0,yes,no,cellular,11,may,65,2,-1,0,unknown,0
34,management,single,tertiary,no,592.0,no,no,cellular,29,oct,168,2,-1,0,unknown,0
42,housemaid,single,primary,no,1084.0,yes,no,cellular,7,jul,171,1,-1,0,unknown,0
57,housemaid,married,primary,no,4312.0,no,no,cellular,27,aug,64,2,-1,0,unknown,0
27,blue-collar,single,secondary,no,668.0,no,no,cellular,25,may,193,1,91,1,failure,1
42,blue-collar,married,primary,no,-114.0,no,no,cellular,8,jul,687,3,-1,0,unknown,1
32,management,married,tertiary,no,1835.0,no,no,cellular,25,aug,397,6,-1,0,unknown,0
34,entrepreneur,married,tertiary,no,667.0,no,no,cellular,24,jun,345,1,-1,0,unknown,1
45,technician,married,unknown,no,1555.0,no,no,cellular,4,may,276,4,-1,0,unknown,0
48,blue-collar,married,secondary,no,322.0,no,no,cellular,4,may,150,6,-1,0,unknown,1
49,services,single,secondary,no,-178.0,yes,no,cellular,17,jul,76,7,-1,0,unknown,0
31,services,married,secondary,no,482.0,yes,no,unknown,30,may,157,1,-1,0,unknown,0
37,housemaid,married,secondary,no,377.0,no,no,cellular,8,aug,85,4,-1,0,unknown,0
57,management,married,unknown,no,1532.0,no,no,cellular,21,oct,67,1,-1,0,unknown,1
48,management,married,tertiary,no,2022.0,no,no,cellular,11,aug,312,2,405,3,success,1
43,management,married,unknown,no,775.0,no,no,cellular,11,aug,738,1,-1,0,unknown,1
56,management,married,tertiary,no,297.0,yes,no,cellular,10,jul,423,1,-1,0,unknown,0
41,admin.,single,secondary,no,382.0,yes,yes,cellular,22,jul,63,7,-1,0,unknown,0
33,management,single,tertiary,no,947.0,yes,no,cellular,12,may,240,3,-1,0,unknown,0
51,blue-collar,married,primary,no,8106.0,no,no,unknown,23,may,164,1,-1,0,unknown,0
54,housemaid,married,primary,no,1904.0,no,no,unknown,16,jun,1154,1,-1,0,unknown,1
36,management,single,tertiary,no,4640.0,yes,no,cellular,4,aug,235,1,92,5,success,1
51,blue-collar,single,secondary,no,261.0,yes,yes,cellular,14,may,225,1,324,1,failure,1
41,blue-collar,married,primary,no,3058.0,yes,no,cellular,27,aug,327,5,-1,0,unknown,1
28,technician,single,secondary,no,225.0,no,no,cellular,21,oct,175,1,183,1,success,1
30,blue-collar,single,unknown,no,951.0,no,no,cellular,3,feb,384,2,-1,0,unknown,1
61,retired,married,secondary,no,800.0,no,no,cellular,8,sep,215,1,69,4,other,1
37,unknown,single,primary,no,510.0,no,no,cellular,5,mar,165,3,-1,0,unknown,1
54,admin.,married,primary,no,1354.0,no,no,cellular,18,may,762,1,-1,0,unknown,1
50,services,married,primary,no,795.0,yes,no,cellular,20,nov,142,1,111,2,failure,0
39,technician,single,secondary,no,0.0,no,no,cellular,29,aug,16,6,-1,0,unknown,0
44,housemaid,married,secondary,no,1093.0,no,no,cellular,12,aug,192,1,181,9,success,1
28,management,single,tertiary,no,271.0,yes,no,unknown,26,may,891,2,-1,0,unknown,1
31,admin.,single,secondary,no,1589.0,yes,no,cellular,31,aug,169,2,91,2,success,1
41,management,single,secondary,no,4139.0,no,no,cellular,12,sep,890,1,-1,0,unknown,1
34,blue-collar,married,primary,no,105.0,yes,yes,unknown,6,may,305,4,-1,0,unknown,0
43,management,single,tertiary,no,2558.0,yes,no,cellular,4,aug,188,1,92,8,success,1
45,management,married,tertiary,no,-849.0,yes,yes,cellular,17,nov,232,3,113,3,failure,0
29,technician,single,tertiary,no,6415.0,yes,no,unknown,4,jul,256,1,-1,0,unknown,0
40,blue-collar,married,secondary,no,2418.0,no,no,cellular,2,feb,787,1,-1,0,unknown,1
87,retired,divorced,primary,no,720.0,no,no,telephone,28,jan,390,5,-1,0,unknown,0
30,blue-collar,single,secondary,no,3.0,yes,no,unknown,9,may,184,1,-1,0,unknown,0
60,technician,married,secondary,no,772.0,yes,no,unknown,29,may,143,2,-1,0,unknown,0
